Zotero.URL|References
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 108, 112.
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 132-133
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 166-169, 173-174.
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 180-183
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 225-227
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Cannon and Hargreaves 2001) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/WH8L6KHW $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Cannon and Crowcroft, eds 2015) $ (Cannon and Hargreaves 2001) $ (Halloran 2015) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/Q83LQP2L|(Cannon and Hargreaves 2001) $ (Haigh, ed. 1985)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Cannon and Hargreaves 2001) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/VERZ7KBP $ https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Abels 2018) $ (Cannon and Crowcroft, eds 2015) $ (Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Cannon and Hargreaves 2001) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/IHUH4CEP $ https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Bolton 2009) $ (Cannon and Crowcroft, eds 2015) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/ERQC8YTN|(Cannon and Crowcroft, eds 2015) $ (Cannon and Hargreaves 2001) $ (Venning 2017)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG $ https://www.zotero.org/groups/1051264/seshat_databank/items/XADVMLL4|(Cannon and Crowcroft, eds 2015) $ (Cannon and Hargreaves 2001) $ (Golding 2013)
https://www.zotero.org/groups/1051264/seshat_databank/items/2PEE2ZJ5 $ https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Crowcroft, eds 2015) $ (Cannon and Hargreaves 2001)
https://www.zotero.org/groups/1051264/seshat_databank/items/NBSTFKPG|(Cannon and Hargreaves 2001)
